Ethnicity,Gender,FSM,SEN_type,SEN_grouping,Admission_type,School_characteristic,Religious_denomination,Value,Value_type,Denominator,Numerator
All,Boys,All,All,All,All,All state-funded,Sikh,62.5,%,224,140
All,All,All,All,Any SEN,All,State-funded mainstream,Sikh,22.5,%,40,9
All,Girls,All,All,All,All,State-funded mainstream,Sikh,66.1,%,189,125
Asian,Boys,All,All,All,All,State-funded mainstream,Sikh,67,%,179,120
Asian,Girls,All,All,All,All,State-funded mainstream,Sikh,68.6,%,159,109
Asian,All,All,All,All,All,State-funded mainstream,Sikh,67.8,%,338,229
Black,Girls,All,All,All,All,State-funded mainstream,Sikh,!,%,2,!
Black,Boys,All,All,All,All,State-funded mainstream,Sikh,25,%,4,1
Black,All,All,All,All,All,State-funded mainstream,Sikh,16.7,%,6,1
Mixed,Girls,All,All,All,All,State-funded mainstream,Sikh,50,%,6,3
Mixed,Boys,All,All,All,All,State-funded mainstream,Sikh,27.3,%,11,3
Mixed,All,All,All,All,All,State-funded mainstream,Sikh,35.3,%,17,6
Other,Girls,All,All,All,All,State-funded mainstream,Sikh,!,%,17,!
Other,Boys,All,All,All,All,State-funded mainstream,Sikh,57.7,%,26,15
Other,All,All,All,All,All,State-funded mainstream,Sikh,62.8,%,43,27
Unknown,Boys,All,All,All,All,State-funded mainstream,Sikh,!,%,2,!
Unknown,Girls,All,All,All,All,State-funded mainstream,Sikh,!,%,1,!
Unknown,All,All,All,All,All,State-funded mainstream,Sikh,!,%,3,!
White,Girls,All,All,All,All,State-funded mainstream,Sikh,25,%,4,1
White,Boys,All,All,All,All,State-funded mainstream,Sikh,0,%,2,0
White,All,All,All,All,All,State-funded mainstream,Sikh,16.7,%,6,1
All,All,All,All,No identified SEN,All,Academies and free schools,All,56.2,%,362887,204116
All,All,All,All,Any SEN,All,Academies and free schools,All,19.8,%,53415,10566
All,Girls,All,SEN Supp,All,All,Academies and free schools,All,23.6,%,18080,4274
All,Girls,All,No SEN,All,All,Academies and free schools,All,59,%,184890,109104
All,Girls,All,All,No identified SEN,All,Academies and free schools,All,59,%,184890,109104
All,Girls,All,SEN State EHC,All,All,Academies and free schools,All,12.6,%,2183,274
All,Boys,All,All,All,selective schools,Academies and free schools,All,95.3,%,10866,10353
All,Boys,All,SEN Supp,All,All,Academies and free schools,All,19.2,%,27379,5254
All,All,All,SEN Supp,All,All,Academies and free schools,All,21,%,45459,9528
All,Boys,All,All,Any SEN,All,Academies and free schools,All,18.2,%,33152,6018
All,All,All,SEN State EHC,All,All,Academies and free schools,All,13,%,7956,1038
All,Boys,All,All,No identified SEN,All,Academies and free schools,All,53.4,%,177997,95012
All,Boys,FSM,All,All,All,Academies and free schools,All,26.5,%,31145,8255
All,All,FSM,All,All,All,Academies and free schools,All,29.4,%,62516,18373
All,All,Non-FSM,All,All,All,Academies and free schools,All,55.5,%,353786,196309
All,Boys,All,SEN State EHC,All,All,Academies and free schools,All,13.2,%,5773,764
All,Girls,All,All,Any SEN,All,Academies and free schools,All,22.4,%,20263,4548
All,Boys,All,All,All,All,Academies and free schools,All,47.8,%,211149,101030
All,Boys,All,No SEN,All,All,Academies and free schools,All,53.4,%,177997,95012
All,Girls,Non-FSM,All,All,All,Academies and free schools,All,59.6,%,173782,103534
All,All,All,All,All,All,Academies and free schools,All,51.6,%,416302,214682
All,Boys,Non-FSM,All,All,All,Academies and free schools,All,51.5,%,180004,92775
All,All,All,No SEN,All,All,Academies and free schools,All,56.2,%,362887,204116
All,Girls,All,All,All,All,Academies and free schools,All,55.4,%,205153,113652
All,Girls,FSM,All,All,All,Academies and free schools,All,32.3,%,31371,10118
All,Girls,All,All,All,non-selective schools in other areas,University Technical Colleges (UTCs),All,44.8,%,982,440
All,Girls,All,All,All,non-selective schools in highly selective areas,Sponsored Academies,All,37.8,%,4624,1746
All,Boys,All,All,All,non-selective schools in highly selective areas,University Technical Colleges (UTCs),All,26.6,%,154,41
All,Boys,All,All,All,non-selective schools in other areas,Studio Schools,All,31,%,612,190
All,Boys,All,All,All,selective schools,Converter Academies,All,95.3,%,10866,10353
All,Girls,All,All,All,non-selective schools in other areas,Studio Schools,All,37.2,%,540,201
All,Girls,All,All,All,non-selective schools in highly selective areas,Converter Academies,All,45.9,%,9298,4265
All,Girls,All,All,All,non-selective schools in other areas,Converter Academies,All,57.5,%,123258,70832
All,Girls,All,All,All,non-selective schools in other areas,Free Schools,All,56.6,%,4760,2693
All,Boys,All,All,All,non-selective schools in other areas,Converter Academies,All,49.6,%,123097,61046
All,Girls,All,All,All,non-selective schools in highly selective areas,Free Schools,All,59.3,%,428,254
All,Girls,All,All,All,selective schools,Converter Academies,All,97,%,10941,10618
All,Girls,All,All,All,non-selective schools in highly selective areas,University Technical Colleges (UTCs),All,30.6,%,49,15
All,All,All,All,All,non-selective schools in other areas,Converter Academies,All,53.5,%,246355,131878
All,All,All,All,All,non-selective schools in other areas,Free Schools,All,54.5,%,10464,5700
All,All,All,All,All,non-selective schools in other areas,Sponsored Academies,All,41.1,%,104289,42865
All,All,All,All,All,non-selective schools in highly selective areas,University Technical Colleges (UTCs),All,27.6,%,203,56
All,Boys,All,All,All,non-selective schools in other areas,University Technical Colleges (UTCs),All,36.9,%,2332,860
All,Girls,All,All,All,non-selective schools in other areas,Sponsored Academies,All,44.9,%,50273,22588
All,Boys,All,All,All,non-selective schools in highly selective areas,Converter Academies,All,39.3,%,9083,3570
All,Boys,All,All,All,non-selective schools in highly selective areas,Sponsored Academies,All,30.8,%,4888,1507
All,All,All,All,All,non-selective schools in highly selective areas,Sponsored Academies,All,34.2,%,9512,3253
All,All,All,All,All,non-selective schools in highly selective areas,Free Schools,All,52.5,%,825,433
All,Boys,All,All,All,non-selective schools in other areas,Sponsored Academies,All,37.5,%,54016,20277
All,All,All,All,All,non-selective schools in other areas,Studio Schools,All,33.9,%,1152,391
All,All,All,All,All,non-selective schools in highly selective areas,Converter Academies,All,42.6,%,18381,7835
All,Boys,All,All,All,non-selective schools in other areas,Free Schools,All,52.7,%,5704,3007
All,Boys,All,All,All,non-selective schools in highly selective areas,Free Schools,All,45.1,%,397,179
All,Girls,All,All,All,non-selective schools in highly selective areas,Academies and free schools,All,43.6,%,14399,6280
All,All,All,All,All,non-selective schools in highly selective areas,Academies and free schools,All,40,%,28921,11577
All,All,All,All,All,selective schools,Academies and free schools,All,96.2,%,21807,20971
All,Girls,All,All,All,selective schools,Academies and free schools,All,97,%,10941,10618
All,Boys,All,All,All,non-selective schools in highly selective areas,Academies and free schools,All,36.5,%,14522,5297
All,Boys,All,All,All,non-selective schools in other areas,Academies and free schools,All,46,%,185761,85380
All,All,All,All,All,non-selective schools in other areas,Academies and free schools,All,49.8,%,365574,182134
All,Girls,All,All,All,non-selective schools in other areas,Academies and free schools,All,53.8,%,179813,96754
All,All,All,All,All,non-selective schools in other areas,University Technical Colleges (UTCs),All,39.2,%,3314,1300
All,All,All,All,All,selective schools,Converter Academies,All,96.2,%,21807,20971
All,Girls,All,No SEN,All,All,Studio Schools,All,42.1,%,428,180
All,All,All,No SEN,All,All,Free Schools,All,59.3,%,9756,5781
All,Girls,All,No SEN,All,All,Converter Academies,All,63.2,%,130266,82277
All,Boys,All,SEN State EHC,All,All,Sponsored Academies,All,10,%,1805,181
All,All,All,SEN State EHC,All,All,Sponsored Academies,All,9.6,%,2426,232
All,All,All,SEN Supp,All,All,Converter Academies,All,24.1,%,28857,6960
All,All,All,SEN State EHC,All,All,Converter Academies,All,14.5,%,5221,755
All,Girls,All,SEN Supp,All,All,Free Schools,All,23.7,%,519,123
All,All,All,SEN State EHC,All,All,Studio Schools,All,16,%,25,4
All,All,All,SEN Supp,All,All,FE 14-16 Colleges,All,0,%,22,0
All,Boys,All,SEN State EHC,All,All,University Technical Colleges (UTCs),All,19.3,%,57,11
All,All,All,SEN Supp,All,All,University Technical Colleges (UTCs),All,23.2,%,655,152
All,All,All,No SEN,All,All,Studio Schools,All,39.3,%,887,349
All,All,All,SEN Supp,All,All,Studio Schools,All,15.8,%,240,38
All,All,All,SEN State EHC,All,All,University Technical Colleges (UTCs),All,17.5,%,63,11
All,All,All,No SEN,All,All,Sponsored Academies,All,45.2,%,96980,43824
All,All,All,All,Any SEN,All,LA maintained mainstream,All,17.7,%,17232,3058
All,Girls,All,All,No identified SEN,All,LA maintained mainstream,All,56.8,%,58984,33517
All,Girls,All,No SEN,All,All,LA maintained mainstream,All,56.8,%,58984,33517
All,Girls,All,All,All,non-selective schools in highly selective areas,LA maintained mainstream,All,42.3,%,2453,1037
All,All,All,No SEN,All,All,LA maintained mainstream,All,54.1,%,114538,61984
All,Boys,All,No SEN,All,All,LA maintained mainstream,All,51.2,%,55554,28467
All,All,All,SEN State EHC,All,All,LA maintained mainstream,All,10.5,%,2622,275
All,Boys,Non-FSM,All,All,All,LA maintained mainstream,All,49.4,%,55638,27463
All,All,All,All,All,non-selective schools in other areas,LA maintained mainstream,All,48.8,%,123660,60285
All,Girls,All,SEN State EHC,All,All,LA maintained mainstream,All,8.8,%,800,70
All,Girls,Non-FSM,All,All,All,LA maintained mainstream,All,57.2,%,54866,31357
All,Boys,All,All,No identified SEN,All,LA maintained mainstream,All,51.2,%,55554,28467
All,All,All,All,No identified SEN,All,LA maintained mainstream,All,54.1,%,114538,61984
All,Boys,FSM,All,All,All,LA maintained mainstream,All,25.8,%,10317,2666
All,Girls,All,All,Any SEN,All,LA maintained mainstream,All,20.4,%,6831,1396
All,All,FSM,All,All,All,LA maintained mainstream,All,29.3,%,21266,6222
All,All,All,SEN Supp,All,All,LA maintained mainstream,All,19,%,14610,2783
All,All,Non-FSM,All,All,All,LA maintained mainstream,All,53.2,%,110504,58820
All,Girls,FSM,All,All,All,LA maintained mainstream,All,32.5,%,10949,3556
All,Girls,All,All,All,All,LA maintained mainstream,All,53,%,65815,34913
All,Boys,All,All,All,All,LA maintained mainstream,All,45.7,%,65955,30129
All,Girls,Non-FSM,All,All,All,Converter Academies,All,63.1,%,126513,79843
All,Boys,FSM,All,All,All,Studio Schools,All,21.5,%,121,26
All,Girls,FSM,All,All,All,Sponsored Academies,All,28.6,%,13056,3736
All,Girls,FSM,All,All,All,FE 14-16 Colleges,All,0,%,4,0
All,Boys,Non-FSM,All,All,All,Free Schools,All,55.4,%,4966,2752
All,Boys,FSM,All,All,All,Converter Academies,All,28.2,%,16282,4585
All,Girls,Non-FSM,All,All,All,Sponsored Academies,All,49.2,%,41841,20598
All,Boys,Non-FSM,All,All,All,Converter Academies,All,55.5,%,126764,70384
All,Boys,Non-FSM,All,All,All,University Technical Colleges (UTCs),All,37.7,%,2125,802
All,Girls,Non-FSM,All,All,All,Studio Schools,All,42.6,%,413,176
All,Girls,FSM,All,All,All,Converter Academies,All,34.6,%,16984,5872
All,Boys,FSM,All,All,All,Sponsored Academies,All,23.5,%,13246,3111
All,Boys,FSM,All,All,All,FE 14-16 Colleges,All,0,%,12,0
All,Girls,FSM,All,All,All,Studio Schools,All,19.7,%,127,25
All,Girls,Non-FSM,All,All,All,FE 14-16 Colleges,All,11.8,%,997,118
All,Girls,FSM,All,All,All,University Technical Colleges (UTCs),All,33.3,%,264,88
All,Boys,FSM,All,All,All,Free Schools,All,38.2,%,1135,434
All,All,FSM,All,All,All,University Technical Colleges (UTCs),All,29.9,%,625,187
All,Girls,Non-FSM,All,All,All,Free Schools,All,60,%,4248,2550
All,All,FSM,All,All,All,Converter Academies,All,31.4,%,33266,10457
All,Boys,Non-FSM,All,All,All,FE 14-16 Colleges,All,6.5,%,963,63
All,All,Non-FSM,All,All,All,FE 14-16 Colleges,All,9.2,%,1960,181
All,All,Non-FSM,All,All,All,Studio Schools,All,37.6,%,904,340
All,All,FSM,All,All,All,FE 14-16 Colleges,All,0,%,16,0
All,All,Non-FSM,All,All,All,Converter Academies,All,59.3,%,253277,150227
All,All,Non-FSM,All,All,All,Sponsored Academies,All,44.9,%,87499,39271
All,All,FSM,All,All,All,Free Schools,All,40,%,2075,831
All,Boys,Non-FSM,All,All,All,Sponsored Academies,All,40.9,%,45658,18673
All,Girls,Non-FSM,All,All,All,University Technical Colleges (UTCs),All,47.8,%,767,367
All,All,FSM,All,All,All,Studio Schools,All,20.6,%,248,51
All,Girls,FSM,All,All,All,Free Schools,All,42.2,%,940,397
All,Boys,FSM,All,All,All,University Technical Colleges (UTCs),All,27.4,%,361,99
All,All,Non-FSM,All,All,All,University Technical Colleges (UTCs),All,40.4,%,2892,1169
All,All,Non-FSM,All,All,All,Free Schools,All,57.5,%,9214,5302
All,Boys,Non-FSM,All,All,All,Studio Schools,All,33.4,%,491,164
All,Boys,All,All,All,All,University Technical Colleges (UTCs),All,36.2,%,2486,901
All,All,FSM,All,All,All,Sponsored Academies,All,26,%,26302,6847
All,Girls,All,All,All,All,Sponsored Academies,All,44.3,%,54897,24334
All,Boys,All,All,All,All,FE 14-16 Colleges,All,6.5,%,975,63
All,Girls,All,All,All,All,Converter Academies,All,59.7,%,143497,85715
All,Girls,All,All,All,All,University Technical Colleges (UTCs),All,44.1,%,1031,455
All,Boys,All,All,All,All,Free Schools,All,52.2,%,6101,3186
All,Girls,All,All,All,All,Studio Schools,All,37.2,%,540,201
All,Girls,All,All,All,All,Free Schools,All,56.8,%,5188,2947
All,Boys,All,All,All,All,Studio Schools,All,31,%,612,190
All,Girls,All,All,All,All,FE 14-16 Colleges,All,11.8,%,1001,118
All,All,All,All,All,All,Studio Schools,All,33.9,%,1152,391
All,All,All,All,All,All,FE 14-16 Colleges,All,9.2,%,1976,181
All,All,All,All,All,All,Sponsored Academies,All,40.5,%,113801,46118
All,All,All,All,All,All,Converter Academies,All,56.1,%,286543,160684
All,Boys,All,All,All,All,Sponsored Academies,All,37,%,58904,21784
All,All,All,All,All,All,University Technical Colleges (UTCs),All,38.6,%,3517,1356
All,All,All,All,All,All,Free Schools,All,54.3,%,11289,6133
All,Boys,All,All,All,selective schools,LA maintained mainstream,All,93.7,%,1513,1418
All,Boys,All,All,All,All,Converter Academies,All,52.4,%,143046,74969
All,Boys,All,All,All,non-selective schools in highly selective areas,LA maintained mainstream,All,34.3,%,2680,919
All,Boys,All,All,All,non-selective schools in other areas,LA maintained mainstream,All,45,%,61762,27792
All,All,All,All,All,non-selective schools in highly selective areas,LA maintained mainstream,All,38.1,%,5133,1956
All,All,All,All,All,selective schools,LA maintained mainstream,All,94.1,%,2977,2801
All,Girls,All,All,All,selective schools,LA maintained mainstream,All,94.5,%,1464,1383
All,Girls,All,All,All,non-selective schools in other areas,LA maintained mainstream,All,52.5,%,61898,32493
All,Boys,All,All,Any SEN,All,LA maintained mainstream,All,16,%,10401,1662
All,Girls,All,All,No identified SEN,All,All state-funded,All,58.5,%,244157,142828
All,Girls,All,SEN Supp,All,All,LA maintained mainstream,All,22,%,6031,1326
All,All,All,All,All,All,LA maintained mainstream,All,49.4,%,131770,65042
All,Boys,All,SEN Supp,All,All,LA maintained mainstream,All,17,%,8579,1457
All,Boys,All,SEN State EHC,All,All,LA maintained mainstream,All,11.3,%,1822,205
All,Boys,All,All,No identified SEN,non-selective schools in highly selective areas,State-funded mainstream,All,41.4,%,13991,5797
All,Boys,All,All,Any SEN,non-selective schools in highly selective areas,State-funded mainstream,All,13,%,3211,419
All,Boys,All,All,Any SEN,non-selective schools in other areas,State-funded mainstream,All,16.8,%,39693,6682
All,Boys,All,All,No identified SEN,non-selective schools in other areas,State-funded mainstream,All,51.3,%,208116,106673
All,All,All,All,Any SEN,non-selective schools in highly selective areas,State-funded mainstream,All,13.9,%,5234,727
All,All,All,All,Any SEN,non-selective schools in other areas,State-funded mainstream,All,18.3,%,64075,11697
All,All,All,All,Any SEN,selective schools,State-funded mainstream,All,87.5,%,1405,1229
All,Boys,All,SEN Supp,All,non-selective schools in other areas,State-funded mainstream,All,17.8,%,32758,5825
All,Girls,All,SEN State EHC,All,non-selective schools in highly selective areas,State-funded mainstream,All,7.6,%,237,18
All,Girls,All,All,No identified SEN,non-selective schools in other areas,State-funded mainstream,All,57.2,%,217634,124453
All,Girls,All,No SEN,All,non-selective schools in highly selective areas,State-funded mainstream,All,47.3,%,14829,7009
All,Girls,All,All,No identified SEN,selective schools,State-funded mainstream,All,97.2,%,11692,11366
All,Girls,All,SEN State EHC,All,non-selective schools in other areas,State-funded mainstream,All,11.2,%,2723,304
All,Girls,All,SEN State EHC,All,selective schools,State-funded mainstream,All,88,%,25,22
All,Boys,All,All,Any SEN,selective schools,State-funded mainstream,All,85.8,%,692,594
All,Boys,All,SEN State EHC,All,selective schools,State-funded mainstream,All,88.5,%,52,46
All,Boys,All,SEN Supp,All,non-selective schools in highly selective areas,State-funded mainstream,All,13.5,%,2596,351
All,Boys,All,SEN Supp,All,selective schools,State-funded mainstream,All,85.6,%,640,548
All,Boys,All,SEN State EHC,All,non-selective schools in highly selective areas,State-funded mainstream,All,11.1,%,615,68
All,Boys,All,No SEN,All,selective schools,State-funded mainstream,All,95.6,%,11687,11177
All,Girls,All,All,Any SEN,selective schools,State-funded mainstream,All,89.1,%,713,635
All,Girls,All,SEN Supp,All,non-selective schools in highly selective areas,State-funded mainstream,All,16.2,%,1786,290
All,All,All,All,No identified SEN,non-selective schools in other areas,State-funded mainstream,All,54.3,%,425750,231126
All,Boys,All,No SEN,All,non-selective schools in other areas,State-funded mainstream,All,51.3,%,208116,106673
All,Girls,All,SEN Supp,All,non-selective schools in other areas,State-funded mainstream,All,21.8,%,21659,4711
All,Girls,All,SEN Supp,All,selective schools,State-funded mainstream,All,89.1,%,688,613
All,All,All,No SEN,All,selective schools,State-funded mainstream,All,96.4,%,23379,22543
All,All,All,All,No identified SEN,non-selective schools in highly selective areas,State-funded mainstream,All,44.4,%,28820,12806
All,All,All,SEN State EHC,All,selective schools,State-funded mainstream,All,88.3,%,77,68
All,Girls,All,All,Any SEN,non-selective schools in highly selective areas,State-funded mainstream,All,15.2,%,2023,308
All,Girls,All,All,Any SEN,non-selective schools in other areas,State-funded mainstream,All,20.6,%,24382,5015
All,All,All,All,No identified SEN,selective schools,State-funded mainstream,All,96.4,%,23379,22543
All,All,All,SEN Supp,All,non-selective schools in other areas,State-funded mainstream,All,19.4,%,54417,10536
All,Boys,All,No SEN,All,non-selective schools in highly selective areas,State-funded mainstream,All,41.4,%,13991,5797
All,All,All,SEN State EHC,All,non-selective schools in highly selective areas,State-funded mainstream,All,10.1,%,852,86
All,Boys,All,All,No identified SEN,selective schools,State-funded mainstream,All,95.6,%,11687,11177
All,Boys,All,SEN State EHC,All,non-selective schools in other areas,State-funded mainstream,All,12.4,%,6935,857
All,All,All,SEN Supp,All,non-selective schools in highly selective areas,State-funded mainstream,All,14.6,%,4382,641
All,All,All,SEN State EHC,All,non-selective schools in other areas,State-funded mainstream,All,12,%,9658,1161
All,Girls,All,No SEN,All,selective schools,State-funded mainstream,All,97.2,%,11692,11366
All,Girls,All,No SEN,All,non-selective schools in other areas,State-funded mainstream,All,57.2,%,217634,124453
All,All,All,No SEN,All,non-selective schools in other areas,State-funded mainstream,All,54.3,%,425750,231126
All,Boys,Non-FSM,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,39,%,14647,5714
All,Girls,Non-FSM,All,All,selective schools,State-funded mainstream,All,96.9,%,11929,11556
All,Girls,FSM,All,All,non-selective schools in other areas,State-funded mainstream,All,32.2,%,39241,12617
All,Boys,FSM,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,19.6,%,2555,502
All,Boys,FSM,All,All,selective schools,State-funded mainstream,All,90.8,%,433,393
All,Boys,FSM,All,All,non-selective schools in other areas,State-funded mainstream,All,26.1,%,38504,10039
All,Girls,All,All,No identified SEN,non-selective schools in highly selective areas,State-funded mainstream,All,47.3,%,14829,7009
All,Girls,FSM,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,23.8,%,2630,627
All,All,Non-FSM,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,43,%,28869,12404
All,All,FSM,All,All,selective schools,State-funded mainstream,All,92.2,%,909,838
All,All,Non-FSM,All,All,non-selective schools in other areas,State-funded mainstream,All,53.4,%,412080,220167
All,All,All,SEN Supp,All,selective schools,State-funded mainstream,All,87.4,%,1328,1161
All,Boys,Non-FSM,All,All,non-selective schools in other areas,State-funded mainstream,All,49.4,%,209305,103316
All,Girls,Non-FSM,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,47,%,14222,6690
All,Girls,FSM,All,All,selective schools,State-funded mainstream,All,93.5,%,476,445
All,All,FSM,All,All,non-selective schools in other areas,State-funded mainstream,All,29.1,%,77745,22656
All,All,All,No SEN,All,non-selective schools in highly selective areas,State-funded mainstream,All,44.4,%,28820,12806
All,Boys,Non-FSM,All,All,selective schools,State-funded mainstream,All,95.2,%,11946,11378
All,All,FSM,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,21.8,%,5185,1129
All,Boys,All,All,All,non-selective schools in other areas,State-funded mainstream,All,45.7,%,247809,113355
All,Girls,Non-FSM,All,All,non-selective schools in other areas,State-funded mainstream,All,57.6,%,202775,116851
All,All,Non-FSM,All,All,selective schools,State-funded mainstream,All,96.1,%,23875,22934
All,Girls,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,43.4,%,16852,7317
All,Boys,All,All,All,selective schools,State-funded mainstream,All,95.1,%,12379,11771
All,Girls,All,All,All,selective schools,State-funded mainstream,All,96.7,%,12405,12001
All,All,All,All,All,non-selective schools in other areas,State-funded mainstream,All,49.6,%,489825,242823
All,All,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,39.7,%,34054,13533
All,All,All,All,All,selective schools,State-funded mainstream,All,95.9,%,24784,23772
All,Boys,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,36.1,%,17202,6216
All,Boys,FSM,All,All,All,State-funded mainstream,All,26.3,%,41504,10934
All,Girls,All,All,All,All,State-funded mainstream,All,54.7,%,272274,148904
All,Boys,All,All,All,All,State-funded mainstream,All,47.2,%,278365,131405
All,All,All,All,All,All,State-funded mainstream,All,50.9,%,550639,280309
All,All,FSM,All,All,All,State-funded mainstream,All,29.4,%,83855,24623
All,Girls,FSM,All,All,All,State-funded mainstream,All,32.3,%,42351,13689
All,Girls,Non-FSM,All,All,All,State-funded mainstream,All,58.8,%,229923,135215
All,Boys,All,All,All,selective schools,All state-funded,All,95.1,%,12379,11771
All,All,All,All,All,non-selective schools in other areas,All state-funded,All,49.6,%,489825,242823
All,All,All,All,All,non-selective schools in highly selective areas,All state-funded,All,39.7,%,34054,13533
All,All,All,All,All,selective schools,All state-funded,All,95.9,%,24784,23772
All,Girls,All,All,All,selective schools,All state-funded,All,96.7,%,12405,12001
All,Girls,All,All,All,non-selective schools in other areas,All state-funded,All,53.5,%,242016,129468
All,Boys,All,All,All,non-selective schools in other areas,All state-funded,All,45.7,%,247809,113355
All,Girls,All,All,All,non-selective schools in highly selective areas,All state-funded,All,43.4,%,16852,7317
All,Boys,All,All,All,non-selective schools in highly selective areas,All state-funded,All,36.1,%,17202,6216
All,Girls,Non-FSM,SEN State EHC,All,All,All state-funded,All,7.6,%,4000,304
All,Boys,All,All,Any SEN,All,All state-funded,All,15,%,51841,7784
All,Girls,FSM,No SEN,All,All,All state-funded,All,36.8,%,35144,12936
All,All,All,No SEN,All,All,All state-funded,All,55.8,%,477952,266475
All,Girls,FSM,SEN State EHC,All,All,All state-funded,All,2.7,%,2093,57
All,Boys,Non-FSM,SEN State EHC,All,All,All state-funded,All,8.6,%,10026,865
All,Boys,FSM,SEN Supp,All,All,All state-funded,All,10.3,%,8710,893
All,Girls,FSM,SEN Supp,All,All,All state-funded,All,11,%,6356,701
All,Girls,All,All,Any SEN,All,All state-funded,All,19.8,%,30252,5977
All,Boys,Non-FSM,SEN Supp,All,All,All state-funded,All,21.3,%,27382,5834
All,All,All,SEN State EHC,All,All,All state-funded,All,6.5,%,21842,1418
All,Girls,Non-FSM,SEN Supp,All,All,All state-funded,All,27.6,%,17803,4915
All,Boys,All,All,No identified SEN,All,All state-funded,All,52.9,%,233795,123647
All,Boys,FSM,No SEN,All,All,All state-funded,All,32.2,%,30635,9876
All,Girls,All,SEN State EHC,All,All,All state-funded,All,5.9,%,6093,361
All,All,FSM,SEN Supp,All,All,All state-funded,All,10.6,%,15066,1594
All,All,FSM,No SEN,All,All,All state-funded,All,34.7,%,65779,22812
All,All,All,SEN Supp,All,All,All state-funded,All,20.5,%,60251,12343
All,All,Non-FSM,SEN State EHC,All,All,All state-funded,All,8.3,%,14026,1169
Asian,All,All,All,All,All,All state-funded,All,58.3,%,61023,35548
All,All,Non-FSM,SEN Supp,All,All,All state-funded,All,23.8,%,45185,10749
All,Boys,All,No SEN,All,All,All state-funded,All,52.9,%,233795,123647
All,Boys,All,SEN Supp,All,All,All state-funded,All,18.6,%,36092,6727
All,Boys,FSM,All,All,All,All state-funded,All,24.3,%,45070,10961
All,Boys,FSM,SEN State EHC,All,All,All state-funded,All,3.4,%,5723,192
All,Girls,FSM,All,All,All,All state-funded,All,31.4,%,43596,13694
All,Boys,All,All,All,All,All state-funded,All,45.9,%,286588,131494
All,Girls,Non-FSM,No SEN,All,All,All state-funded,All,62.1,%,209013,129892
All,Boys,All,SEN State EHC,All,All,All state-funded,All,6.7,%,15749,1057
Asian,Boys,FSM,All,All,All,All state-funded,All,39.7,%,5143,2041
Asian,All,Non-FSM,All,All,All,All state-funded,All,61.3,%,50580,31020
All,Girls,All,All,All,All,All state-funded,All,54.1,%,275406,148923
Asian,All,All,All,Any SEN,All,All state-funded,All,17.3,%,6189,1069
Asian,All,All,All,No identified SEN,All,All state-funded,All,62.9,%,54832,34479
All,Boys,Non-FSM,No SEN,All,All,All state-funded,All,56,%,203160,113771
All,Girls,All,SEN Supp,All,All,All state-funded,All,23.2,%,24159,5616
All,All,Non-FSM,No SEN,All,All,All state-funded,All,59.1,%,412173,243663
Asian,Girls,FSM,All,All,All,All state-funded,All,46.9,%,5300,2487
All,Girls,All,No SEN,All,All,All state-funded,All,58.5,%,244157,142828
All,All,All,SEN State EHC,All,All,State-funded special schools,All,0.9,%,11253,103
All,All,All,All,Any SEN,All,State-funded special schools,All,1,%,11355,108
All,Boys,All,SEN Supp,All,All,State-funded special schools,All,3.8,%,78,3
All,Girls,All,SEN State EHC,All,All,State-funded special schools,All,0.5,%,3108,17
All,All,All,SEN Supp,All,All,State-funded special schools,All,4.9,%,102,5
All,Boys,FSM,All,All,All,State-funded special schools,All,0.8,%,3566,27
All,Boys,All,SEN State EHC,All,All,State-funded special schools,All,1.1,%,8145,86
All,All,Non-FSM,All,All,All,State-funded special schools,All,1.2,%,6544,76
All,All,FSM,SEN State EHC,All,All,All state-funded,All,3.2,%,7816,249
All,Girls,FSM,All,All,All,State-funded special schools,All,0.4,%,1245,5
All,Girls,All,SEN Supp,All,All,State-funded special schools,All,8.3,%,24,2
All,All,FSM,All,All,All,State-funded special schools,All,0.7,%,4811,32
All,Girls,Non-FSM,All,All,All,State-funded special schools,All,0.7,%,1887,14
All,Boys,All,All,Any SEN,All,State-funded special schools,All,1.1,%,8223,89
All,All,All,All,All,All,State-funded special schools,All,1,%,11355,108
All,Girls,All,All,All,All,State-funded special schools,All,0.6,%,3132,19
All,Boys,Non-FSM,All,All,All,State-funded special schools,All,1.3,%,4657,62
All,Boys,All,All,All,All,State-funded special schools,All,1.1,%,8223,89
All,Girls,All,All,Any SEN,All,State-funded special schools,All,0.6,%,3132,19
All,Girls,All,All,All,non-selective schools in other areas,State-funded mainstream,All,53.5,%,242016,129468
All,Boys,All,All,Any SEN,All,State-funded mainstream,All,17.6,%,43618,7695
All,Boys,All,All,No identified SEN,All,State-funded mainstream,All,52.9,%,233795,123647
All,All,All,All,No identified SEN,All,State-funded mainstream,All,55.8,%,477952,266475
